"OCUPACION","OCUPACION.NOMBRE","SALARIO","CLASE.SEGURO","X..orden","CAMBIO"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4841056.35","C",36,"SA"
3229,"Otros técnicos de las ciencias de la salud","1082112.00","C",6,"SCS"
2226,"Enfermeros profesionales","1853405.64","C",242,"SA"
5132,"Ayudantes de enfermería","1354438.25","C",53,"SA"
2227,"Médico Especialista","3692853.30","C",89,"SCS"
3224,"Técnicos y asistentes en farmacia","1102721.55","C",7,"SA"
3226,"Auxiliares de enfermería","634623.09","C",48,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","686230.30","C",5,"SA"
2227,"Médico Especialista","6117760.20","C",24,"SA"
2226,"Enfermeros profesionales","1673217.40","C",126,"SCS"
8229,"Otros operadores de máquinas para fabricar productos químicos","517668.90","C",26,"SA"
7125,"Encargado de Mantenimiento de Edificios","779205.00","C",30,"SA"
2221,"Médicos generales y especialistas","2358779.45","C",12,"SA"
5132,"Ayudantes de enfermería","999679.10","C",8,"SA"
9152,"Guardianes y porteros ","783210.63","C",39,"SA"
7125,"Encargado de Mantenimiento de Edificios","877535.00","C",38,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3329621.60","C",172,"SA"
2226,"Enfermeros profesionales","3327428.70","C",165,"SA"
2224,"Farmacéuticos","4376609.42","C",9,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","195720.00","C",130,"SA"
3224,"Técnicos y asistentes en farmacia","888250.00","C",13,"SCS"
2227,"Médico Especialista","3039251.45","C",10,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2596228.00","C",33,"SCS"
2449,"Otros profesionales en ciencias sociales","1691444.85","C",14,"SA"
7125,"Encargado de Mantenimiento de Edificios","797403.60","C",10,"SA"
2221,"Médicos generales y especialistas","2034763.15","C",4,"SCS"
2224,"Farmacéuticos","2146056.93","C",102,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","732296.94","C",17,"SA"
3229,"Otros técnicos de las ciencias de la salud","861560.00","C",10,"SCS"
7125,"Encargado de Mantenimiento de Edificios","488007.56","C",19,"SA"
3122,"Técnicos y asistentes en estadística y demografía","734325.31","C",53,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3105267.50","C",58,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2727002.60","C",41,"SA"
7125,"Encargado de Mantenimiento de Edificios","488110.00","C",1,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","683845.75","C",38,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","606722.37","C",7,"SA"
9152,"Guardianes y porteros ","643872.30","C",36,"SA"
2227,"Médico Especialista","5878720.00","C",58,"SA"
7125,"Encargado de Mantenimiento de Edificios","330750.72","C",27,"IC"
3229,"Otros técnicos de las ciencias de la salud","875840.00","C",5,"SCS"
2226,"Enfermeros profesionales","1913464.90","C",303,"SA"
2226,"Enfermeros profesionales","2659442.00","C",265,"SA"
2449,"Otros profesionales en ciencias sociales","1486446.00","C",31,"SA"
3229,"Otros técnicos de las ciencias de la salud","885315.79","C",4,"SA"
2225,"Nutricionistas","2204144.90","C",19,"SCS"
5132,"Ayudantes de enfermería","749635.50","C",88,"SA"
9155,"Ayudante de cocina","850013.20","C",64,"SA"
3122,"Técnicos y asistentes en estadística y demografía","876220.00","C",70,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4364754.99","C",110,"SA"
4112,"Secretarios","693401.70","C",88,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","498589.25","C",33,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","805980.00","C",39,"SA"
2226,"Enfermeros profesionales","1828307.80","C",424,"SCS"
7125,"Encargado de Mantenimiento de Edificios","1160208.75","C",4,"SA"
3419,"Otros técnicos en administración y en economía","2014500.25","C",64,"SA"
3226,"Auxiliares de enfermería","1008483.40","C",22,"SA"
3226,"Auxiliares de enfermería","1805074.74","C",69,"SA"
2226,"Enfermeros profesionales","2512022.40","C",6,"SA"
3226,"Auxiliares de enfermería","956463.76","C",173,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","641511.70","C",39,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","1660489.50","C",3,"SA"
2226,"Enfermeros profesionales","1527614.10","C",20,"SCS"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","606990.14","C",2,"SA"
5132,"Ayudantes de enfermería","618300.65","C",63,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1378550.35","C",202,"SA"
3189,"Otros supervisores de personal","792817.75","C",57,"SA"
5132,"Ayudantes de enfermería","529007.10","C",43,"SA"
2227,"Médico Especialista","3885840.40","C",288,"SA"
2445,"Psicólogos","1298410.00","C",10,"SCS"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","546916.20","C",11,"SA"
2226,"Enfermeros profesionales","2613664.00","C",77,"SA"
3224,"Técnicos y asistentes en farmacia","731500.00","C",19,"SCS"
2222,"Odontólogos","3247861.03","C",2,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2174563.50","C",8,"SCS"
2226,"Enfermeros profesionales","1518447.60","C",46,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2161952.25","C",193,"SA"
2449,"Otros profesionales en ciencias sociales","1460899.50","C",201,"SCS"
2221,"Médicos generales y especialistas","3284979.20","C",13,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4491300.20","C",19,"SA"
2227,"Médico Especialista","5185842.70","C",33,"SA"
3226,"Auxiliares de enfermería","1994800.60","C",194,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","926720.00","C",25,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3214690.10","C",11,"SA"
3226,"Auxiliares de enfermería","1281802.25","C",98,"SA"
3122,"Técnicos y asistentes en estadística y demografía","696896.35","C",47,"SA"
2226,"Enfermeros profesionales","1964532.40","C",3,"SCS"
2227,"Médico Especialista","15413892.11","C",265,"SA"
5132,"Ayudantes de enfermería","1006969.05","C",210,"SA"
3229,"Otros técnicos de las ciencias de la salud","167121.95","C",102,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1227337.50","C",20,"SA"
9155,"Ayudante de cocina","729783.85","C",88,"SA"
5132,"Ayudantes de enfermería","662540.00","C",2,"SCS"
3226,"Auxiliares de enfermería","820541.45","C",149,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3547423.50","C",3,"SA"
2226,"Enfermeros profesionales","3178637.71","C",132,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1662963.00","C",27,"SA"
3224,"Técnicos y asistentes en farmacia","586381.19","C",119,"SA"
2131,"Diseñadores y analistas de sistemas informáticos","1238151.00","C",6,"SCS"
3226,"Auxiliares de enfermería","837459.00","C",97,"SA"
2449,"Otros profesionales en ciencias sociales","1964139.02","C",4,"SA"
2446,"Trabajadores sociales y orientadores sociales","1741014.50","C",10,"SCS"
5132,"Ayudantes de enfermería","675200.00","C",3,"SCS"
2449,"Otros profesionales en ciencias sociales","1609192.50","C",4,"SCS"
2227,"Médico Especialista","3134479.15","C",1,"SA"
7125,"Encargado de Mantenimiento de Edificios","1037855.20","C",15,"SA"
5132,"Ayudantes de enfermería","769842.10","C",90,"SA"
5132,"Ayudantes de enfermería","1063491.40","C",331,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1243861.80","C",97,"SA"
2221,"Médicos generales y especialistas","1761791.50","C",311,"SCS"
3226,"Auxiliares de enfermería","1324829.40","C",495,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","652706.84","C",8,"SA"
3226,"Auxiliares de enfermería","863328.90","C",147,"SA"
7125,"Encargado de Mantenimiento de Edificios","934140.00","C",172,"SCS"
2227,"Médico Especialista","10683685.18","C",13,"SA"
3122,"Técnicos y asistentes en estadística y demografía","819060.00","C",43,"SA"
3122,"Técnicos y asistentes en estadística y demografía","637618.33","C",43,"SA"
3229,"Otros técnicos de las ciencias de la salud","885260.00","C",1,"SCS"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","623718.86","C",90,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","883834.11","C",21,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3022738.60","C",93,"SA"
7125,"Encargado de Mantenimiento de Edificios","557478.70","C",28,"SA"
7125,"Encargado de Mantenimiento de Edificios","314309.30","C",18,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","925816.80","C",4,"SA"
2227,"Médico Especialista","5058588.05","C",85,"SA"
5132,"Ayudantes de enfermería","1365232.20","C",104,"SA"
2449,"Otros profesionales en ciencias sociales","1525761.00","C",60,"SCS"
2226,"Enfermeros profesionales","1823284.45","C",100,"SA"
2449,"Otros profesionales en ciencias sociales","1610121.00","C",31,"SCS"
2131,"Diseñadores y analistas de sistemas informáticos","1722209.50","C",24,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","956036.58","C",39,"SA"
2227,"Médico Especialista","8601934.41","C",39,"SA"
3229,"Otros técnicos de las ciencias de la salud","810745.32","C",24,"SA"
2449,"Otros profesionales en ciencias sociales","1813193.50","C",45,"SCS"
3224,"Técnicos y asistentes en farmacia","1049088.38","C",7,"SA"
2445,"Psicólogos","2220789.40","C",169,"SCS"
5132,"Ayudantes de enfermería","740596.10","C",37,"SA"
2227,"Médico Especialista","4976768.11","C",184,"SA"
2227,"Médico Especialista","2783393.70","C",42,"SA"
2221,"Médicos generales y especialistas","1567515.00","C",1,"SCS"
2226,"Enfermeros profesionales","1885698.60","C",30,"SCS"
2449,"Otros profesionales en ciencias sociales","1327657.00","C",30,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2629031.00","C",51,"SA"
2449,"Otros profesionales en ciencias sociales","1141875.00","C",42,"SCS"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","1086927.79","C",330,"SA"
2229,"Otros profesionales en ciencias de la salud","3211564.45","C",4,"SA"
5132,"Ayudantes de enfermería","1173901.70","C",298,"SA"
3226,"Auxiliares de enfermería","2830705.96","C",98,"SA"
2131,"Diseñadores y analistas de sistemas informáticos","1750984.00","C",64,"SCS"
2449,"Otros profesionales en ciencias sociales","1766777.50","C",3,"SCS"
9152,"Guardianes y porteros ","1522181.42","C",5,"SA"
9152,"Guardianes y porteros ","673076.65","C",102,"SA"
2226,"Enfermeros profesionales","2933417.97","C",275,"SA"
3229,"Otros técnicos de las ciencias de la salud","1035059.42","C",14,"SA"
3226,"Auxiliares de enfermería","881769.00","C",84,"SA"
2227,"Médico Especialista","10959608.70","C",349,"SA"
3122,"Técnicos y asistentes en estadística y demografía","903460.00","C",80,"SA"
7125,"Encargado de Mantenimiento de Edificios","952560.00","C",12,"SA"
3229,"Otros técnicos de las ciencias de la salud","942480.00","C",9,"SA"
5132,"Ayudantes de enfermería","422000.00","C",5,"SA"
5132,"Ayudantes de enfermería","673695.70","C",24,"SA"
5132,"Ayudantes de enfermería","867833.00","C",11,"SA"
7125,"Encargado de Mantenimiento de Edificios","774396.00","C",48,"SCS"
2449,"Otros profesionales en ciencias sociales","1794973.50","C",46,"SCS"
3412,"Técnicos y asistentes en recursos humanos","1150396.05","C",64,"SA"
9152,"Guardianes y porteros ","1015161.00","C",29,"SA"
2227,"Médico Especialista","4650831.50","C",26,"SA"
2131,"Diseñadores y analistas de sistemas informáticos","1437983.10","C",1,"SA"
2226,"Enfermeros profesionales","1708854.73","C",214,"SA"
4112,"Secretarios","883664.51","C",33,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","284407.65","C",8,"SA"
2227,"Médico Especialista","3505460.16","C",73,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","2422517.60","C",10,"SA"
2446,"Trabajadores sociales y orientadores sociales","1454995.50","C",1,"SCS"
9155,"Ayudante de cocina","698632.05","C",48,"SA"
3229,"Otros técnicos de las ciencias de la salud","1249946.10","C",6,"SA"
5132,"Ayudantes de enfermería","683181.30","C",210,"SA"
3419,"Otros técnicos en administración y en economía","1938619.50","C",81,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2311847.00","C",16,"SA"
7125,"Encargado de Mantenimiento de Edificios","576845.35","C",5,"SA"
5132,"Ayudantes de enfermería","822885.00","C",46,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5035820.60","C",22,"SA"
7125,"Encargado de Mantenimiento de Edificios","870662.80","C",8,"SA"
5132,"Ayudantes de enfermería","1564751.60","C",8,"SA"
2226,"Enfermeros profesionales","2658943.60","C",20,"SA"
9152,"Guardianes y porteros ","1521432.50","C",1,"SA"
9155,"Ayudante de cocina","1177388.89","C",28,"SA"
3229,"Otros técnicos de las ciencias de la salud","831230.00","C",10,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","510424.80","C",35,"SA"
3226,"Auxiliares de enfermería","403729.15","C",69,"SA"
9152,"Guardianes y porteros ","1517063.95","C",5,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1554919.00","C",5,"SCS"
3189,"Otros supervisores de personal","1035819.65","C",8,"SA"
7125,"Encargado de Mantenimiento de Edificios","688441.70","C",273,"SA"
2227,"Médico Especialista","15692940.60","C",178,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3881422.76","C",35,"SA"
5132,"Ayudantes de enfermería","766218.37","C",38,"SA"
3229,"Otros técnicos de las ciencias de la salud","1183325.90","C",13,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","962165.00","C",19,"SA"
5132,"Ayudantes de enfermería","568192.80","C",5,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3708980.15","C",1,"SA"
3419,"Otros técnicos en administración y en economía","1663822.50","C",8,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","921465.80","C",4,"SA"
9155,"Ayudante de cocina","883199.98","C",130,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","552894.63","C",8,"SA"
2224,"Farmacéuticos","3327609.94","C",16,"SA"
7125,"Encargado de Mantenimiento de Edificios","455080.00","C",1,"IC"
4112,"Secretarios","693745.00","C",83,"SCS"
2226,"Enfermeros profesionales","1880667.52","C",26,"SA"
2449,"Otros profesionales en ciencias sociales","1029603.55","C",11,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4515614.02","C",19,"SA"
7125,"Encargado de Mantenimiento de Edificios","444070.00","C",10,"SCS"
5132,"Ayudantes de enfermería","738926.80","C",55,"SA"
3122,"Técnicos y asistentes en estadística y demografía","490560.00","C",41,"SA"
2226,"Enfermeros profesionales","1735596.65","C",139,"SA"
5132,"Ayudantes de enfermería","1622702.30","C",332,"SA"
3229,"Otros técnicos de las ciencias de la salud","1692457.35","C",57,"SA"
2226,"Enfermeros profesionales","2326674.02","C",25,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","1090934.45","C",20,"SA"
3226,"Auxiliares de enfermería","1087484.54","C",185,"SA"
3224,"Técnicos y asistentes en farmacia","891233.80","C",114,"SA"
7125,"Encargado de Mantenimiento de Edificios","686290.00","C",1,"SCS"
3229,"Otros técnicos de las ciencias de la salud","781850.00","C",30,"SCS"
2221,"Médicos generales y especialistas","3265722.10","C",32,"SCS"
3224,"Técnicos y asistentes en farmacia","989640.75","C",18,"SA"
3229,"Otros técnicos de las ciencias de la salud","918680.00","C",76,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","325964.20","C",37,"SA"
2411,"Contadores públicos y auditores","1990612.50","C",10,"SCS"
7125,"Encargado de Mantenimiento de Edificios","587195.00","C",5,"SCS"
2227,"Médico Especialista","6399032.89","C",62,"SA"
7125,"Encargado de Mantenimiento de Edificios","753375.00","C",52,"SCS"
2227,"Médico Especialista","4204441.96","C",1,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","1927090.00","C",41,"SCS"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","1017321.50","C",8,"SA"
2227,"Médico Especialista","771672.20","C",41,"SCS"
9155,"Ayudante de cocina","863588.55","C",40,"SA"
3122,"Técnicos y asistentes en estadística y demografía","899760.00","C",16,"SA"
3226,"Auxiliares de enfermería","855183.00","C",83,"SA"
5132,"Ayudantes de enfermería","736311.70","C",5,"SA"
7125,"Encargado de Mantenimiento de Edificios","609220.00","C",61,"SCS"
2226,"Enfermeros profesionales","2041363.20","C",11,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","2093243.90","C",11,"SA"
3419,"Otros técnicos en administración y en economía","1557060.00","C",110,"SCS"
3224,"Técnicos y asistentes en farmacia","1021151.63","C",42,"SA"
2226,"Enfermeros profesionales","2373295.10","C",401,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3336086.00","C",103,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","677492.01","C",79,"SA"
5132,"Ayudantes de enfermería","780948.40","C",209,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1237234.10","C",64,"SA"
2226,"Enfermeros profesionales","2654620.90","C",109,"SA"
3226,"Auxiliares de enfermería","2753795.76","C",29,"SA"
3229,"Otros técnicos de las ciencias de la salud","918680.00","C",22,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","850850.00","C",39,"SA"
9152,"Guardianes y porteros ","1649648.65","C",7,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","757471.70","C",185,"SA"
3122,"Técnicos y asistentes en estadística y demografía","685540.00","C",34,"SCS"
2449,"Otros profesionales en ciencias sociales","1849405.00","C",45,"SCS"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","701350.00","C",126,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2427173.50","C",93,"SA"
3226,"Auxiliares de enfermería","1075304.75","C",493,"SA"
3226,"Auxiliares de enfermería","1078795.30","C",32,"SA"
2226,"Enfermeros profesionales","1734381.40","C",220,"SA"
3224,"Técnicos y asistentes en farmacia","1504476.70","C",110,"SA"
2227,"Médico Especialista","2165310.90","C",63,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2978312.25","C",70,"SA"
2449,"Otros profesionales en ciencias sociales","1666505.50","C",1,"SCS"
3226,"Auxiliares de enfermería","1453581.80","C",526,"SA"
2226,"Enfermeros profesionales","2014815.80","C",173,"SA"
2221,"Médicos generales y especialistas","3074956.86","C",22,"SA"
2449,"Otros profesionales en ciencias sociales","1515237.21","C",190,"SA"
9152,"Guardianes y porteros ","724975.10","C",65,"SA"
3122,"Técnicos y asistentes en estadística y demografía","688442.15","C",53,"SA"
3122,"Técnicos y asistentes en estadística y demografía","950534.08","C",21,"SA"
5132,"Ayudantes de enfermería","758100.00","C",89,"SCS"
7125,"Encargado de Mantenimiento de Edificios","598210.00","C",25,"SA"
2226,"Enfermeros profesionales","1912862.10","C",260,"SCS"
2229,"Otros profesionales en ciencias de la salud","1205048.00","C",4,"SA"
5132,"Ayudantes de enfermería","985368.01","C",69,"SA"
4131,"Empleados de control de abastecimiento e inventario","927322.05","C",114,"SA"
2227,"Médico Especialista","7035069.90","C",7,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","7744487.35","C",21,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","737115.00","C",7,"SCS"
2227,"Médico Especialista","16877155.20","C",324,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1342187.35","C",25,"SA"
5132,"Ayudantes de enfermería","700520.00","C",84,"SA"
2221,"Médicos generales y especialistas","6210933.65","C",31,"SA"
2226,"Enfermeros profesionales","1532375.10","C",57,"SCS"
5132,"Ayudantes de enfermería","675200.00","C",18,"SCS"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","1136585.00","C",4,"SA"
3229,"Otros técnicos de las ciencias de la salud","838072.50","C",23,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","718200.00","C",21,"SA"
9152,"Guardianes y porteros ","197429.35","C",2,"IC"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2250253.50","C",6,"SCS"
2449,"Otros profesionales en ciencias sociales","1309814.44","C",116,"SA"
2226,"Enfermeros profesionales","2011947.74","C",82,"SA"
7125,"Encargado de Mantenimiento de Edificios","806760.00","C",11,"SA"
2222,"Odontólogos","2412150.31","C",8,"SA"
2221,"Médicos generales y especialistas","2084221.75","C",56,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","671448.60","C",16,"SA"
2226,"Enfermeros profesionales","4463010.50","C",104,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","709650.00","C",15,"SCS"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","473812.50","C",8,"SA"
5132,"Ayudantes de enfermería","1020998.65","C",89,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","684000.00","C",59,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","575607.15","C",7,"SA"
2449,"Otros profesionales en ciencias sociales","1612444.50","C",6,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","1094287.85","C",32,"SA"
4112,"Secretarios","260417.85","C",10,"SA"
2222,"Odontólogos","2856105.10","C",61,"SCS"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2673293.50","C",6,"SCS"
2449,"Otros profesionales en ciencias sociales","1466078.80","C",56,"SCS"
8221,"Operadores de máquinas para fabricar productos farmacéuticos y cosméticos","664980.95","C",28,"SA"
3226,"Auxiliares de enfermería","1130470.20","C",117,"SA"
5132,"Ayudantes de enfermería","796267.50","C",31,"SCS"
8229,"Otros operadores de máquinas para fabricar productos químicos","839106.00","C",18,"SA"
9152,"Guardianes y porteros ","912189.05","C",71,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","976284.25","C",3,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1070561.48","C",4,"SA"
3224,"Técnicos y asistentes en farmacia","1050730.30","C",20,"SA"
3224,"Técnicos y asistentes en farmacia","924699.77","C",35,"SA"
3226,"Auxiliares de enfermería","1181298.78","C",21,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2300106.50","C",5,"SCS"
2227,"Médico Especialista","3532513.00","C",57,"SA"
2226,"Enfermeros profesionales","1214254.30","C",1,"SA"
3419,"Otros técnicos en administración y en economía","1570099.55","C",7,"SA"
2226,"Enfermeros profesionales","1883496.94","C",257,"SA"
2449,"Otros profesionales en ciencias sociales","1795561.00","C",15,"SCS"
2227,"Médico Especialista","2862780.04","C",145,"SA"
3122,"Técnicos y asistentes en estadística y demografía","737222.20","C",16,"SA"
3226,"Auxiliares de enfermería","720616.75","C",35,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","87009.55","C",73,"SA"
2226,"Enfermeros profesionales","2190563.30","C",193,"SA"
2222,"Odontólogos","3250498.25","C",60,"SA"
3229,"Otros técnicos de las ciencias de la salud","875840.00","C",58,"SCS"
2227,"Médico Especialista","5009965.19","C",62,"SA"
2449,"Otros profesionales en ciencias sociales","1479018.00","C",30,"SCS"
5132,"Ayudantes de enfermería","1142512.39","C",43,"SA"
3229,"Otros técnicos de las ciencias de la salud","1702486.45","C",1,"SA"
2226,"Enfermeros profesionales","2653096.16","C",102,"SA"
2226,"Enfermeros profesionales","1720127.80","C",228,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","1110987.13","C",63,"SA"
7125,"Encargado de Mantenimiento de Edificios","528348.75","C",93,"SA"
2449,"Otros profesionales en ciencias sociales","1540935.00","C",26,"SA"
2221,"Médicos generales y especialistas","2478567.70","C",7,"SCS"
2449,"Otros profesionales en ciencias sociales","1604862.37","C",78,"SA"
3226,"Auxiliares de enfermería","881769.00","C",5,"SCS"
2227,"Médico Especialista","3673865.50","C",124,"SCS"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2552780.25","C",57,"SA"
3226,"Auxiliares de enfermería","868476.00","C",51,"SCS"
2227,"Médico Especialista","6889935.08","C",252,"SA"
3122,"Técnicos y asistentes en estadística y demografía","454268.55","C",140,"SA"
7125,"Encargado de Mantenimiento de Edificios","831135.00","C",1,"SCS"
7125,"Encargado de Mantenimiento de Edificios","760557.15","C",40,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1896786.00","C",16,"SCS"
3229,"Otros técnicos de las ciencias de la salud","944805.35","C",115,"SA"
2226,"Enfermeros profesionales","1785065.10","C",16,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4560742.90","C",7,"SA"
7125,"Encargado de Mantenimiento de Edificios","714900.00","C",23,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","458850.00","C",7,"SA"
2226,"Enfermeros profesionales","2396348.20","C",8,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","1002157.73","C",4,"SA"
9152,"Guardianes y porteros ","1130469.60","C",39,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1839686.50","C",4,"SCS"
5132,"Ayudantes de enfermería","1093709.70","C",235,"SA"
8253,"Operadores de máquinas para fabricar productos de papel","657410.00","C",18,"SA"
3122,"Técnicos y asistentes en estadística y demografía","862474.40","C",286,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4052356.60","C",16,"SCS"
2227,"Médico Especialista","2356786.80","C",33,"SA"
3229,"Otros técnicos de las ciencias de la salud","794764.00","C",49,"SA"
3122,"Técnicos y asistentes en estadística y demografía","787202.55","C",42,"SA"
9152,"Guardianes y porteros ","784479.30","C",2,"SA"
3122,"Técnicos y asistentes en estadística y demografía","910594.25","C",208,"SA"
3122,"Técnicos y asistentes en estadística y demografía","736152.85","C",24,"SA"
2227,"Médico Especialista","610471.50","C",5,"SA"
2222,"Odontólogos","3477270.50","C",13,"SA"
2227,"Médico Especialista","2859167.00","C",147,"SCS"
3229,"Otros técnicos de las ciencias de la salud","920831.70","C",6,"SA"
5132,"Ayudantes de enfermería","1091957.75","C",114,"SA"
5132,"Ayudantes de enfermería","942193.65","C",21,"SA"
2449,"Otros profesionales en ciencias sociales","1235634.00","C",29,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2052381.96","C",3,"IC"
8221,"Operadores de máquinas para fabricar productos farmacéuticos y cosméticos","796775.10","C",72,"SA"
5132,"Ayudantes de enfermería","691480.50","C",16,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2533832.00","C",14,"SCS"
